Video_Title,Video_Description,Upload_Date,Duration_Minutes,View_Count,Like_Count,Comment_Count,Channel_Subscriber_Count,Actual_Quality_Score
Building REST APIs with Flask,"No experience needed. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2022-08-08,24,196228,9174,1645,389679,44
"How Databases Work: B-Trees, Indexing, and Query Optimization","This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2021-07-03,71,211629,24001,1906,243968,89
System Design Interview: Designing Twitter,"A deep dive into the internals. We cover theory, implementation, debugging strategies, and production-ready patterns. Includes exercises and solutions at each checkpoint.",2023-02-28,60,485435,52044,7779,393162,76
Clean Code Principles with Real Examples,"This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2022-11-09,34,189451,18579,2535,489714,77
React in 30 Minutes for BEGINNERS,Everything in one video!,2023-11-23,9,2321394,40222,5832,1732607,18
Become a Full Stack Dev FAST,Everything in one video!,2021-04-19,14,4587855,50165,12783,1974564,14
CSS Flexbox and Grid Tutorial,"Complete course — no prior knowledge required. A deep dive into the internals. We cover theory, implementation, debugging strat",2023-03-08,35,326491,12125,2177,199790,46
Understanding Memory Management in C++ — Deep Dive,"In this comprehensive tutorial, we explore the underlying mechanisms with worked examples, edge cases, and real project applications. Prerequisites: basic programming knowledge. Code available on GitHub.",2022-09-16,44,177753,21559,3072,71613,77
SQL in 15 Minutes — Complete Course,Complete course — no prior knowledge required.,2024-10-15,8,1360929,20721,2507,1169145,34
"React Hooks Explained — useState, useEffect, useContext","A deep dive into the internals. We cover theory, implementation, debugging strategies, and production-ready patterns. Includes exercises and solutions at each checkpoint.",2023-02-10,25,286183,39341,7086,537342,94
Clean Code Principles with Real Examples,"This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2021-11-10,50,170263,14242,1967,561116,94
Understanding Memory Management in C++ — Deep Dive,"In this comprehensive tutorial, we explore the underlying mechanisms with worked examples, edge cases, and real project applications. Prerequisites: basic programming knowledge. Code available on GitHub.",2021-10-11,71,332451,23787,4421,599916,95
System Design Interview: Designing Twitter,"This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2021-02-24,41,144628,15819,4169,178148,73
Become a Full Stack Dev FAST,Learn fast with this easy guide.,2024-04-18,30,3014865,33117,6570,1616239,24
FULL JavaScript Course in 1 Hour,Everything in one video!,2024-02-08,8,2330342,32220,1207,2697037,11
Git and GitHub for Beginners,"Quick tutorial for beginners. This video walks through building a complete project from scratch, explaining ev",2022-02-02,19,166002,7762,616,79369,62
Building REST APIs with Flask,"Learn fast with this easy guide. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2024-04-26,15,365496,13611,1969,254855,62
FULL JavaScript Course in 1 Hour,Quick tutorial for beginners.,2021-11-21,20,3246276,55215,2509,853587,16
"How Databases Work: B-Trees, Indexing, and Query Optimization","A deep dive into the internals. We cover theory, implementation, debugging strategies, and production-ready patterns. Includes exercises and solutions at each checkpoint.",2024-03-14,56,89046,8003,2399,582057,68
Git Lists and Dictionaries Tutorial,"Quick tutorial for beginners. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2021-11-18,17,233078,9189,864,220260,40
SQL in 15 Minutes — Complete Course,No experience needed.,2022-07-01,17,3948443,60998,9185,2381061,31
Getting Started with Docker,"Quick tutorial for beginners. This video walks through building a complete project from scratch, explaining ev",2024-03-07,35,304266,6827,1371,36289,57
"React Hooks Explained — useState, useEffect, useContext","In this comprehensive tutorial, we explore the underlying mechanisms with worked examples, edge cases, and real project applications. Prerequisites: basic programming knowledge. Code available on GitHub.",2024-09-28,90,94002,11902,893,76262,86
Neural Networks OOP — Classes and Objects,"Learn fast with this easy guide. This video walks through building a complete project from scratch, explaining ev",2022-07-04,31,40836,1828,218,316012,57
Git and GitHub for Beginners,"Learn fast with this easy guide. A deep dive into the internals. We cover theory, implementation, debugging strat",2023-05-07,24,88617,4153,389,175767,63
Web Dev OOP — Classes and Objects,"Quick tutorial for beginners. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2021-01-15,29,131754,5301,403,192981,41
"Advanced Machine Learning: Decorators, Generators, and Context Managers","This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2022-06-10,63,564634,28629,14667,318921,94
System Design Interview: Designing Twitter,"This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2021-03-09,95,172998,12890,3685,757470,75
"How Databases Work: B-Trees, Indexing, and Query Optimization","This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2022-11-21,87,273319,35936,7274,101781,85
Building a REST API with Django — Full Project,"In this comprehensive tutorial, we explore the underlying mechanisms with worked examples, edge cases, and real project applications. Prerequisites: basic programming knowledge. Code available on GitHub.",2024-05-02,58,179430,20941,3613,453462,82
JavaScript Async/Await Explained,"Complete course — no prior knowledge required. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2021-02-03,38,213575,9247,680,76818,40
Git Lists and Dictionaries Tutorial,"Everything in one video! In this comprehensive tutorial, we explore the underlying mechanisms with worked",2023-06-26,33,150825,7040,728,303540,52
JavaScript Async/Await Explained,"No experience needed. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2022-04-28,17,194160,9959,1027,361224,62
Introduction to SQL Joins,"No experience needed. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2022-05-06,39,266777,7709,2276,251331,50
Getting Started with Docker,"No experience needed. A deep dive into the internals. We cover theory, implementation, debugging strat",2023-04-08,20,56396,3309,238,346321,55
Learn Data Structures in 20 Minutes,Quick tutorial for beginners.,2024-11-27,11,2591231,19896,7530,1163446,11
Git and GitHub for Beginners,"No experience needed. This video walks through building a complete project from scratch, explaining ev",2021-10-14,28,80631,2854,533,143547,40
CSS Flexbox and Grid Tutorial,"Learn fast with this easy guide. A deep dive into the internals. We cover theory, implementation, debugging strat",2024-01-17,25,56686,3285,530,336712,49
SQL in 15 Minutes — Complete Course,No experience needed.,2021-12-10,18,3775579,58363,7120,854635,23
"React Hooks Explained — useState, useEffect, useContext","This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2024-11-24,63,435800,43281,3490,305850,71
Git and GitHub for Beginners,"No experience needed. A deep dive into the internals. We cover theory, implementation, debugging strat",2024-10-20,26,374223,10683,2165,482478,64
C++ Full Course — 45 Minutes Only!,Complete course — no prior knowledge required.,2022-11-03,18,1183388,20444,2813,2871909,19
Python Lists and Dictionaries Tutorial,"Learn fast with this easy guide. A deep dive into the internals. We cover theory, implementation, debugging strat",2022-04-05,31,58182,2223,528,311817,45
Master Machine Learning FAST,Quick tutorial for beginners.,2024-08-13,11,3966384,32852,9956,2968865,26
FULL JavaScript Course in 1 Hour,No experience needed.,2024-01-18,12,4297709,64524,12763,2547508,20
C++ Full Course — 45 Minutes Only!,No experience needed.,2024-10-27,25,4140594,76427,9768,2040928,24
SQL in 15 Minutes — Complete Course,Complete course — no prior knowledge required.,2023-04-27,23,2406939,21948,1669,1248430,17
Kubernetes from Scratch — Production Setup Guide,"In this comprehensive tutorial, we explore the underlying mechanisms with worked examples, edge cases, and real project applications. Prerequisites: basic programming knowledge. Code available on GitHub.",2023-06-11,42,168157,11907,3912,745734,71
C++ Full Course — 45 Minutes Only!,No experience needed.,2021-07-14,21,922322,7473,1429,2499806,32
Learn C++ in 10 Minutes!,Everything in one video!,2021-10-13,17,3671445,65358,10586,1807502,27
Building REST APIs with Flask,"No experience needed. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2022-08-08,24,196228,9174,1645,389679,44
"How Databases Work: B-Trees, Indexing, and Query Optimization","This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2021-07-03,71,211629,24001,1906,243968,89
System Design Interview: Designing Twitter,"A deep dive into the internals. We cover theory, implementation, debugging strategies, and production-ready patterns. Includes exercises and solutions at each checkpoint.",2023-02-28,60,485435,52044,7779,393162,76
Clean Code Principles with Real Examples,"This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2022-11-09,34,189451,18579,2535,489714,77
React in 30 Minutes for BEGINNERS,Everything in one video!,2023-11-23,9,2321394,40222,5832,1732607,18
Become a Full Stack Dev FAST,Everything in one video!,2021-04-19,14,4587855,50165,12783,1974564,14
CSS Flexbox and Grid Tutorial,"Complete course — no prior knowledge required. A deep dive into the internals. We cover theory, implementation, debugging strat",2023-03-08,35,326491,12125,2177,199790,46
Understanding Memory Management in C++ — Deep Dive,"In this comprehensive tutorial, we explore the underlying mechanisms with worked examples, edge cases, and real project applications. Prerequisites: basic programming knowledge. Code available on GitHub.",2022-09-16,44,177753,21559,3072,71613,77
SQL in 15 Minutes — Complete Course,Complete course — no prior knowledge required.,2024-10-15,8,1360929,20721,2507,1169145,34
"React Hooks Explained — useState, useEffect, useContext","A deep dive into the internals. We cover theory, implementation, debugging strategies, and production-ready patterns. Includes exercises and solutions at each checkpoint.",2023-02-10,25,286183,39341,7086,537342,94
Clean Code Principles with Real Examples,"This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2021-11-10,50,170263,14242,1967,561116,94
Understanding Memory Management in C++ — Deep Dive,"In this comprehensive tutorial, we explore the underlying mechanisms with worked examples, edge cases, and real project applications. Prerequisites: basic programming knowledge. Code available on GitHub.",2021-10-11,71,332451,23787,4421,599916,95
System Design Interview: Designing Twitter,"This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2021-02-24,41,144628,15819,4169,178148,73
Become a Full Stack Dev FAST,Learn fast with this easy guide.,2024-04-18,30,3014865,33117,6570,1616239,24
FULL JavaScript Course in 1 Hour,Everything in one video!,2024-02-08,8,2330342,32220,1207,2697037,11
Git and GitHub for Beginners,"Quick tutorial for beginners. This video walks through building a complete project from scratch, explaining ev",2022-02-02,19,166002,7762,616,79369,62
Building REST APIs with Flask,"Learn fast with this easy guide. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2024-04-26,15,365496,13611,1969,254855,62
FULL JavaScript Course in 1 Hour,Quick tutorial for beginners.,2021-11-21,20,3246276,55215,2509,853587,16
"How Databases Work: B-Trees, Indexing, and Query Optimization","A deep dive into the internals. We cover theory, implementation, debugging strategies, and production-ready patterns. Includes exercises and solutions at each checkpoint.",2024-03-14,56,89046,8003,2399,582057,68
Git Lists and Dictionaries Tutorial,"Quick tutorial for beginners. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2021-11-18,17,233078,9189,864,220260,40
SQL in 15 Minutes — Complete Course,No experience needed.,2022-07-01,17,3948443,60998,9185,2381061,31
Getting Started with Docker,"Quick tutorial for beginners. This video walks through building a complete project from scratch, explaining ev",2024-03-07,35,304266,6827,1371,36289,57
"React Hooks Explained — useState, useEffect, useContext","In this comprehensive tutorial, we explore the underlying mechanisms with worked examples, edge cases, and real project applications. Prerequisites: basic programming knowledge. Code available on GitHub.",2024-09-28,90,94002,11902,893,76262,86
Neural Networks OOP — Classes and Objects,"Learn fast with this easy guide. This video walks through building a complete project from scratch, explaining ev",2022-07-04,31,40836,1828,218,316012,57
Git and GitHub for Beginners,"Learn fast with this easy guide. A deep dive into the internals. We cover theory, implementation, debugging strat",2023-05-07,24,88617,4153,389,175767,63
Web Dev OOP — Classes and Objects,"Quick tutorial for beginners. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2021-01-15,29,131754,5301,403,192981,41
"Advanced Machine Learning: Decorators, Generators, and Context Managers","This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2022-06-10,63,564634,28629,14667,318921,94
System Design Interview: Designing Twitter,"This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2021-03-09,95,172998,12890,3685,757470,75
"How Databases Work: B-Trees, Indexing, and Query Optimization","This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2022-11-21,87,273319,35936,7274,101781,85
Building a REST API with Django — Full Project,"In this comprehensive tutorial, we explore the underlying mechanisms with worked examples, edge cases, and real project applications. Prerequisites: basic programming knowledge. Code available on GitHub.",2024-05-02,58,179430,20941,3613,453462,82
JavaScript Async/Await Explained,"Complete course — no prior knowledge required. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2021-02-03,38,213575,9247,680,76818,40
Git Lists and Dictionaries Tutorial,"Everything in one video! In this comprehensive tutorial, we explore the underlying mechanisms with worked",2023-06-26,33,150825,7040,728,303540,52
JavaScript Async/Await Explained,"No experience needed. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2022-04-28,17,194160,9959,1027,361224,62
Introduction to SQL Joins,"No experience needed. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2022-05-06,39,266777,7709,2276,251331,50
Getting Started with Docker,"No experience needed. A deep dive into the internals. We cover theory, implementation, debugging strat",2023-04-08,20,56396,3309,238,346321,55
Learn Data Structures in 20 Minutes,Quick tutorial for beginners.,2024-11-27,11,2591231,19896,7530,1163446,11
Git and GitHub for Beginners,"No experience needed. This video walks through building a complete project from scratch, explaining ev",2021-10-14,28,80631,2854,533,143547,40
CSS Flexbox and Grid Tutorial,"Learn fast with this easy guide. A deep dive into the internals. We cover theory, implementation, debugging strat",2024-01-17,25,56686,3285,530,336712,49
SQL in 15 Minutes — Complete Course,No experience needed.,2021-12-10,18,3775579,58363,7120,854635,23
"React Hooks Explained — useState, useEffect, useContext","This video walks through building a complete project from scratch, explaining every design decision along the way. We discuss trade-offs, common mistakes, and best practices.",2024-11-24,63,435800,43281,3490,305850,71
Git and GitHub for Beginners,"No experience needed. A deep dive into the internals. We cover theory, implementation, debugging strat",2024-10-20,26,374223,10683,2165,482478,64
C++ Full Course — 45 Minutes Only!,Complete course — no prior knowledge required.,2022-11-03,18,1183388,20444,2813,2871909,19
Python Lists and Dictionaries Tutorial,"Learn fast with this easy guide. A deep dive into the internals. We cover theory, implementation, debugging strat",2022-04-05,31,58182,2223,528,311817,45
Master Machine Learning FAST,Quick tutorial for beginners.,2024-08-13,11,3966384,32852,9956,2968865,26
FULL JavaScript Course in 1 Hour,No experience needed.,2024-01-18,12,4297709,64524,12763,2547508,20
C++ Full Course — 45 Minutes Only!,No experience needed.,2024-10-27,25,4140594,76427,9768,2040928,24
SQL in 15 Minutes — Complete Course,Complete course — no prior knowledge required.,2023-04-27,23,2406939,21948,1669,1248430,17
Kubernetes from Scratch — Production Setup Guide,"In this comprehensive tutorial, we explore the underlying mechanisms with worked examples, edge cases, and real project applications. Prerequisites: basic programming knowledge. Code available on GitHub.",2023-06-11,42,168157,11907,3912,745734,71
C++ Full Course — 45 Minutes Only!,No experience needed.,2021-07-14,21,922322,7473,1429,2499806,32
Learn C++ in 10 Minutes!,Everything in one video!,2021-10-13,17,3671445,65358,10586,1807502,27
Building REST APIs with Flask,"No experience needed. In this comprehensive tutorial, we explore the underlying mechanisms with worked",2022-08-08,24,196228,9174,1645,389679,44
